,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
175,9/28/2013,vs Franklin & Marshall,W,1-0,(5-4 (1-1 CC)),,200,Travis Wantchekon (0),msoc
176,10/2/2013,at Swarthmore,L,1-2,"(5-5, CC 1-2)",CC 1-2,452,Lance Dotzman (0) (Joe Adams),msoc
177,10/5/2013,vs Washington College,W,3-1,(6-5-0 (2-2 CC)),,100,Jeremy Katz (1) (Brendan McIntyre)  Jonathan Schauer (1) Lance Dotzman (6) (Jeff Reinhart),msoc
178,10/9/2013,vs New Jersey,W,2-1,(7-5),,150,"Brendan McIntyre (1) (Joe Adams , Lance Dotzman)  Joe Adams (1) (Bryan Attanasio)",msoc
179,10/12/2013,at Haverford,T,0-0,"(7-5-1, 2-2-1 CC)",2-2-1 CC,93,,msoc
180,10/19/2013,vs Johns Hopkins,L,1-3,(7-6-1 (2-3-1 CC)),,127,Jacob Joseph (1) (Brendan McIntyre),msoc
181,10/23/2013,at Dickinson,L,0-1,"(7-7-1, 2-4-1)",2-4-1,80,,msoc
182,10/26/2013,at Ursinus,W,2-1,"(8-7-1, 3-4-1 CC)",3-4-1 CC,125,Nick Sarkos (1) (Lance Dotzman)  Lance Dotzman (7) (Brendan McIntyre),msoc
183,11/2/2013,at McDaniel,W,1-0,"(9-7-1, 4-3-1 CC)",4-3-1 CC,176,Joe Roberts (0) (Lance Dotzman),msoc
184,11/13/2013,at Marywood,W,2-0,(10-7-1),,85,Brendan McIntyre (0) Lance Dotzman (0) (Jeff Reinhart),msoc
185,11/16/2013,at Swarthmore,L,0-3,(10-8-1),,115,,msoc
186,8/31/2012,vs Elizabethtown,W,3-2,(1-0),,427,Cody Antonini (1) Danny Way (1) Jacob Joseph (1) (Nate Squire),msoc
187,9/1/2012,vs Cortland State,W,2-0,(2-0),,309,Cody Antonini (2) (Jeff Reinhart)  Cody Antonini (3) (Danny Way),msoc
188,9/9/2012,at Ithaca,L,0-1,(2-1-0),,0,,msoc
189,9/12/2012,vs Moravian,W,5-0,(3-1),,175,Cody Antonini (4) Dan Joseph (1) (Chris Royer)  Oliver Katz (1) (Jeremy Katz)  Joey Roberts (1) Brendan McIntyre (0),msoc
190,9/15/2012,at McDaniel,W,1-0,"(4-1, 1-0 CC)",1-0 CC,68,Cody Antonini (1),msoc
191,9/22/2012,vs Johns Hopkins,W,2-0,(5-1 (2-0 CC)),,415,Danny Way (2) (Chris Royer)  Cody Antonini (6),msoc
192,9/27/2012,vs Swarthmore,L,1-2,(5-2 (2-1 CC)),,250,Cody Antonini (7),msoc
193,9/29/2012,at Haverford,L,0-1,"(5-3, 2-2 CC)",2-2 CC,124,,msoc
194,10/3/2012,at The College of NJ,W,3-2,(4-9),,124,Cody Antonini (8) Cody Antonini (9) (Nate Squire)  Joey Roberts (2) (Oliver Katz),msoc
195,10/6/2012,vs Washington College,W,2-1,(7-3 (3-2 CC)),,400,Jeff Reinhart (1) (Cody Antonini)  Jacob Joseph (2) (Cody Antonini),msoc
196,10/10/2012,vs Drew,W,1-0,(8-3),,200,Cody Antonini (10) (Bucky Aronoff),msoc
197,10/13/2012,at F&M,L,0-2,"(8-4, 3-3 CC)",3-3 CC,274,,msoc
198,10/17/2012,at William Paterson,W,2-1,(9-4),,80,Cody Antonini (11) (Bryan Attanasio)  Cody Antonini (12) (Joe Adams),msoc
199,10/20/2012,vs Gettysburg,W,2-0,(10-4 (4-3 CC)),,300,Cody Antonini (13) (Jeff Reinhart)  Jonathan Schauer (1) (Nate Squire),msoc
200,10/24/2012,vs Dickinson,L,0-2,(10-5 (4-4 CC)),,200,,msoc
201,10/27/2012,at Ursinus,W,5-1,"(11-5,5-4)",5-4,120,Lance Dotzman (1) (Bryan Attanasio)  Cody Antonini (14) Nate Squire (1) Cody Antonini (15) Cody Antonini (16),msoc
