,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1,team_name
59,at Ursinus,11/30/21,45-54,L,19-61,0.311,2-20,0.1,5-7,0.714,12,25,37,45.0,13,7,16,1,9,45,61.6,wbball
60,at Swarthmore,12/02/21,49-57,L,18-62,0.29,5-23,0.217,8-20,0.4,17,27,44,44.8,14,7,16,3,12,49,59.5,wbball
61,vs Salisbury,12/04/21,59-65,L,24-59,0.407,6-13,0.462,5-10,0.5,13,23,36,43.6,16,10,20,2,6,59,59.4,wbball
62,vs Moravian,12/08/21,79-60,W,31-63,0.492,10-19,0.526,7-12,0.583,15,30,45,43.8,18,19,15,4,7,79,61.9,wbball
63,at Rowan,12/18/21,60-52,W,22-60,0.367,8-23,0.348,8-16,0.5,12,36,48,44.2,9,13,23,5,12,60,61.7,wbball
64,at Franklin & Marshall,01/05/22,49-55,L,17-67,0.254,6-24,0.25,9-11,0.818,14,23,37,43.5,20,11,10,4,11,49,60.4,wbball
65,vs Gettysburg,01/11/22,35-70,L,15-65,0.231,5-33,0.152,0-0,,10,20,30,42.3,3,9,19,1,12,35,58.1,wbball
66,vs McDaniel,01/17/22,42-34,W,17-50,0.34,5-21,0.238,3-9,0.333,11,25,36,41.8,7,10,19,3,15,42,56.8,wbball
67,vs Haverford,01/19/22,51-61,L,20-60,0.333,6-27,0.222,5-7,0.714,11,26,37,41.4,16,13,15,3,11,51,56.3,wbball
68,at Johns Hopkins,01/22/22,34-79,L,12-56,0.214,3-22,0.136,7-15,0.467,8,22,30,40.6,8,4,13,2,8,34,54.7,wbball
69,at McDaniel,01/25/22,44-61,L,14-51,0.275,8-21,0.381,8-12,0.667,10,24,34,40.1,14,7,21,2,6,44,54.0,wbball
70,at Gettysburg,01/29/22,35-68,L,13-72,0.181,6-32,0.188,3-7,0.429,16,19,35,39.8,5,7,14,2,15,35,52.8,wbball
71,vs Dickinson,02/02/22,66-59,W,25-67,0.373,7-22,0.318,9-19,0.474,16,21,37,39.6,17,17,9,3,10,66,53.6,wbball
72,vs Swarthmore,02/04/22,75-71,W,29-66,0.439,9-21,0.429,8-15,0.533,9,21,30,39.1,15,17,16,2,9,75,54.8,wbball
73,at Bryn Mawr,02/07/22,71-51,W,29-105,0.276,8-49,0.163,5-11,0.455,40,28,68,40.6,20,18,7,2,12,71,55.6,wbball
74,at Haverford,02/08/22,36-65,L,14-53,0.264,3-19,0.158,5-11,0.455,9,28,37,40.5,13,7,19,4,3,36,54.7,wbball
75,at Dickinson,02/10/22,44-47,L,18-58,0.31,2-17,0.118,6-10,0.6,9,35,44,40.6,15,7,20,2,11,44,54.1,wbball
76,vs Franklin & Marshall,02/12/22,63-56,W,19-60,0.317,3-16,0.188,22-28,0.786,12,25,37,40.5,17,13,14,3,13,63,54.5,wbball
77,vs Washington College,02/14/22,61-73,L,23-75,0.307,3-21,0.143,12-16,0.75,18,31,49,40.8,20,16,13,4,8,61,54.8,wbball
78,vs Ursinus,02/16/22,63-71,L,23-77,0.299,7-40,0.175,10-12,0.833,18,30,48,41.1,23,15,11,5,7,63,55.2,wbball
79,at Washington College,02/19/22,71-57,W,24-67,0.358,8-25,0.32,15-23,0.652,17,28,45,41.3,18,19,10,3,9,71,55.8,wbball
80,Muhlenberg,,-,,521-1637,0.318,148-605,0.245,205-335,0.612,365,667,1032,41.3,368,308,388,81,258,1395,55.8,wbball
81,Opponents,,-,,541-1495,0.362,161-519,0.31,238-363,0.656,308,781,1089,43.6,336,347,458,85,158,1481,59.2,wbball
82,at Salisbury,11/09/19,80-66,W,25-42,0.595,7-14,0.5,23-31,0.742,3,31,34,34.0,22,11,23,1,5,80,80.0,wbball
83,at Washington College,11/16/19,46-50,L,13-60,0.217,4-19,0.211,16-22,0.727,18,41,59,46.5,21,10,25,10,5,46,63.0,wbball
84,at DeSales,11/20/19,52-64,L,16-57,0.281,7-22,0.318,13-21,0.619,12,29,41,44.7,23,10,21,2,8,52,59.3,wbball
85,vs Neumann,11/22/19,72-55,W,22-60,0.367,4-20,0.2,24-39,0.615,17,35,52,46.5,17,17,16,3,12,72,62.5,wbball
86,vs Catholic,11/23/19,52-61,L,16-53,0.302,6-19,0.316,14-17,0.824,9,23,32,43.6,22,10,21,4,10,52,60.4,wbball
87,vs Dickinson,11/26/19,59-70,L,22-54,0.407,3-19,0.158,12-17,0.706,10,33,43,43.5,21,15,23,0,8,59,60.2,wbball
88,at Moravian,12/03/19,54-58,L,21-59,0.356,8-14,0.571,4-13,0.308,17,26,43,43.4,17,12,14,8,7,54,59.3,wbball
89,vs Johns Hopkins,12/07/19,38-47,L,13-48,0.271,1-10,0.1,11-16,0.688,10,17,27,41.4,15,10,17,3,14,38,56.6,wbball
90,at Haverford,12/14/19,38-61,L,14-58,0.241,1-23,0.043,9-14,0.643,21,18,39,41.1,19,6,18,2,8,38,54.6,wbball
91,vs Washington College,01/04/20,56-39,W,19-56,0.339,4-16,0.25,14-19,0.737,11,30,41,41.1,12,16,11,4,9,56,54.7,wbball
92,at Bryn Mawr,01/07/20,71-33,W,25-78,0.321,9-31,0.29,12-17,0.706,27,29,56,42.5,16,15,14,5,19,71,56.2,wbball
93,vs Swarthmore,01/09/20,55-48,W,21-56,0.375,4-19,0.211,9-10,0.9,14,29,43,42.5,15,16,16,7,7,55,56.1,wbball
94,at McDaniel,01/11/20,53-60,L,14-44,0.318,3-19,0.158,22-28,0.786,12,21,33,41.8,18,7,19,8,7,53,55.8,wbball
95,at Ursinus,01/15/20,68-61,W,20-55,0.364,7-19,0.368,21-33,0.636,11,29,40,41.6,16,11,10,4,8,68,56.7,wbball
96,vs Gettysburg,01/25/20,49-58,L,13-56,0.232,5-16,0.313,18-25,0.72,10,26,36,41.3,28,9,14,1,10,49,56.2,wbball
97,vs Franklin & Marshall,01/28/20,54-48,W,19-50,0.38,3-18,0.167,13-26,0.5,11,28,39,41.1,15,14,16,4,8,54,56.1,wbball
98,at Dickinson,01/29/20,44-40,W,15-52,0.288,5-17,0.294,9-18,0.5,11,32,43,41.2,15,8,21,5,8,44,55.4,wbball
99,at Johns Hopkins,02/01/20,53-42,W,22-60,0.367,4-21,0.19,5-7,0.714,16,30,46,41.5,16,11,14,7,3,53,55.2,wbball
100,vs Ursinus,02/04/20,56-54,W,23-60,0.383,3-13,0.231,7-9,0.778,11,20,31,40.9,14,12,13,6,12,56,55.3,wbball
101,at Swarthmore,02/06/20,58-63,L,22-56,0.393,8-19,0.421,6-8,0.75,10,22,32,40.5,22,12,16,2,10,58,55.4,wbball
102,vs McDaniel,02/08/20,58-64,L,21-54,0.389,6-18,0.333,10-13,0.769,9,27,36,40.3,15,12,15,2,6,58,55.5,wbball
103,vs Haverford,02/12/20,51-66,L,20-50,0.4,6-16,0.375,5-6,0.833,6,17,23,39.5,17,9,16,2,7,51,55.3,wbball
104,at Franklin & Marshall,02/15/20,61-62,L,25-69,0.362,3-20,0.15,8-9,0.889,16,23,39,39.5,19,7,18,2,8,61,55.6,wbball
105,vs Bryn Mawr,02/19/20,63-35,W,24-83,0.289,8-28,0.286,7-9,0.778,24,32,56,40.2,11,17,8,1,10,63,55.9,wbball
106,at Gettysburg,02/22/20,60-72,L,22-75,0.293,6-26,0.231,10-17,0.588,17,27,44,40.3,19,12,9,1,12,60,56.0,wbball
107,Muhlenberg,,-,,487-1445,0.337,125-476,0.263,302-444,0.68,333,675,1008,40.3,445,289,408,94,221,1401,56.0,wbball
108,Opponents,,-,,461-1380,0.334,134-458,0.293,321-463,0.693,295,683,978,39.1,423,281,408,87,199,1377,55.1,wbball
109,at Skidmore,11/10/18,49-46,W,20-56,0.357,3-17,0.176,6-12,0.5,11,28,39,39.0,25,15,20,1,8,49,49.0,wbball
110,vs Penn State Berks,11/16/18,64-39,W,26-93,0.28,9-36,0.25,3-9,0.333,28,34,62,50.5,23,16,17,7,18,64,56.5,wbball
111,vs William Paterson,11/17/18,65-42,W,23-67,0.343,6-28,0.214,11-13,0.846,20,21,41,47.3,15,18,17,2,9,65,59.3,wbball
112,at Dickinson,11/20/18,53-47,W,19-59,0.322,5-27,0.185,10-14,0.714,9,27,36,44.5,17,7,14,1,8,53,57.8,wbball
113,vs Bryn Mawr,11/27/18,87-27,W,30-79,0.38,7-27,0.259,20-36,0.556,28,29,57,47.0,11,17,11,4,15,87,63.6,wbball
114,vs Washington College,11/29/18,61-37,W,21-64,0.328,5-24,0.208,14-25,0.56,19,33,52,47.8,6,14,17,3,11,61,63.2,wbball
115,at Haverford,12/05/18,59-50,W,23-61,0.377,11-25,0.44,2-2,1.0,17,19,36,46.1,13,12,13,2,10,59,62.6,wbball
116,vs Swarthmore,12/08/18,55-33,W,22-61,0.361,7-27,0.259,4-9,0.444,11,28,39,45.3,10,16,11,9,16,55,61.6,wbball
117,vs Moravian,12/15/18,57-53,W,22-55,0.4,3-14,0.214,10-17,0.588,15,21,36,44.2,10,10,11,1,7,57,61.1,wbball
118,vs DeSales,12/18/18,44-85,L,17-60,0.283,4-24,0.167,6-12,0.5,16,20,36,43.4,24,6,25,2,8,44,59.4,wbball
119,at Gettysburg,01/05/19,58-69,L,21-67,0.313,6-19,0.316,10-14,0.714,13,28,41,43.2,10,12,11,3,12,58,59.3,wbball
120,at McDaniel,01/08/19,44-52,L,16-62,0.258,3-32,0.094,9-13,0.692,20,22,42,43.1,21,10,16,4,9,44,58.0,wbball
121,vs Johns Hopkins,01/10/19,40-68,L,15-54,0.278,6-19,0.316,4-10,0.4,9,23,32,42.2,18,11,18,4,9,40,56.6,wbball
122,at Franklin & Marshall,01/12/19,63-77,L,22-58,0.379,9-28,0.321,10-14,0.714,11,21,32,41.5,20,17,16,5,9,63,57.1,wbball
123,vs Gettysburg,01/16/19,55-65,L,20-71,0.282,8-24,0.333,7-13,0.538,20,22,42,41.5,19,14,11,2,6,55,56.9,wbball
124,at Swarthmore,01/22/19,64-51,W,20-67,0.299,7-30,0.233,5-8,0.625,24,20,44,41.7,11,11,13,5,12,52,56.6,wbball
125,vs Ursinus,01/24/19,73-63,W,27-65,0.415,5-19,0.263,14-18,0.778,12,25,37,41.4,21,13,10,4,12,73,57.6,wbball
126,at Bryn Mawr,01/30/19,61-32,W,24-67,0.358,6-19,0.316,7-13,0.538,19,24,43,41.5,16,15,12,1,18,61,57.8,wbball
127,vs McDaniel,02/02/19,63-36,W,20-51,0.392,7-22,0.318,16-22,0.727,18,25,43,41.6,10,16,22,1,16,63,58.1,wbball
128,vs Dickinson,02/05/19,53-62,L,17-64,0.266,6-27,0.222,13-17,0.765,16,16,32,41.1,18,13,11,1,16,53,57.8,wbball
129,vs Haverford,02/07/19,44-40,W,18-52,0.346,4-18,0.222,4-4,1.0,5,18,23,40.2,7,12,11,1,14,44,57.1,wbball
130,at Johns Hopkins,02/09/19,63-76,L,21-50,0.42,8-22,0.364,13-16,0.813,11,18,29,39.7,14,11,14,1,3,63,57.4,wbball
131,at Washington College,02/11/19,56-39,W,20-53,0.377,5-26,0.192,11-17,0.647,11,28,39,39.7,12,16,9,6,7,56,57.3,wbball
132,at Ursinus,02/13/19,52-53,L,19-58,0.328,6-23,0.261,8-12,0.667,8,23,31,39.3,16,8,10,4,9,52,57.1,wbball
133,vs Franklin & Marshall,02/16/19,54-55,L,15-58,0.259,7-27,0.259,17-26,0.654,16,19,35,39.2,12,8,10,3,14,54,57.0,wbball
134,at Ursinus,02/19/19,38-57,L,15-61,0.246,3-18,0.167,5-8,0.625,15,27,42,39.3,25,6,18,3,9,38,56.3,wbball
135,Muhlenberg,,-,,533-1613,0.33,156-622,0.251,239-374,0.639,402,619,1021,39.3,404,324,368,80,285,1463,56.3,wbball
136,Opponents,,-,,477-1359,0.351,158-558,0.283,242-359,0.674,299,732,1031,39.7,397,334,529,86,157,1354,52.1,wbball
137,at Moravian,11/15/17,79-71,W,28-73,0.384,5-22,0.227,18-22,0.818,16,34,50,50.0,21,20,15,7,8,79,79.0,wbball
138,vs Notre Dame (Md.),11/17/17,97-42,W,39-72,0.542,12-26,0.462,7-18,0.389,17,37,54,52.0,10,30,9,7,10,97,88.0,wbball
139,vs Lycoming,11/18/17,83-74,W,31-72,0.431,9-25,0.36,12-20,0.6,18,24,42,48.7,17,21,9,13,5,83,86.3,wbball
140,at Bryn Mawr,11/21/17,94-37,W,37-81,0.457,8-21,0.381,12-14,0.857,17,33,50,49.0,16,26,11,5,19,94,88.3,wbball
141,at Swarthmore,11/28/17,77-36,W,31-71,0.437,5-17,0.294,10-15,0.667,18,31,49,49.0,10,20,16,5,16,77,86.0,wbball
142,vs Dickinson,11/30/17,73-49,W,26-62,0.419,3-15,0.2,18-28,0.643,12,37,49,49.0,17,20,14,7,7,73,83.8,wbball
143,at Johns Hopkins,12/02/17,69-64,W,23-68,0.338,8-21,0.381,15-22,0.682,11,40,51,49.3,15,13,14,4,3,69,81.7,wbball
144,vs Haverford,12/06/17,53-51,W,16-49,0.327,5-11,0.455,16-20,0.8,8,31,39,48.0,7,13,14,5,4,53,78.1,wbball
145,at Ursinus,12/09/17,76-70,W,24-51,0.471,5-11,0.455,23-29,0.793,10,22,32,46.2,9,13,14,2,4,76,77.9,wbball
146,vs Elizabethtown,12/16/17,73-56,W,26-57,0.456,8-20,0.4,13-17,0.765,8,30,38,45.4,12,17,15,10,10,73,77.4,wbball
147,at DeSales,12/19/17,55-47,W,20-55,0.364,1-10,0.1,14-22,0.636,11,37,48,45.6,8,16,22,7,8,55,75.4,wbball
148,vs Washington College,01/06/18,82-58,W,28-58,0.483,9-20,0.45,17-23,0.739,8,28,36,44.8,9,17,13,3,10,82,75.9,wbball
149,vs Franklin & Marshall,01/09/18,75-39,W,25-56,0.446,3-10,0.3,22-26,0.846,13,30,43,44.7,11,13,13,5,10,75,75.8,wbball
150,vs Gettysburg,01/11/18,62-67,L,20-55,0.364,8-20,0.4,14-18,0.778,9,24,33,43.9,19,12,16,8,3,62,74.9,wbball
