,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1,team_name
53,vs Ursinus,02/21/23,74-53,W,27-59,0.458,4-17,0.235,16-23,0.696,12,27,39,35.3,14,9,11,4,9,74,74.6,mbball
54,at Johns Hopkins,02/24/23,51-85,L,20-59,0.339,3-21,0.143,8-16,0.5,6,24,30,35.1,19,8,12,3,3,51,73.7,mbball
55,Muhlenberg,,-,,739-1560,0.474,191-524,0.365,321-463,0.693,224,724,948,35.1,410,318,321,112,161,1990,73.7,mbball
56,Opponents,,-,,680-1629,0.417,164-517,0.317,329-470,0.7,295,669,964,35.7,442,321,311,69,156,1853,68.6,mbball
57,vs Moravian,11/05/21,94-71,W,37-66,0.561,11-29,0.379,9-16,0.563,8,27,35,35.0,12,22,17,4,12,94,94.0,mbball
58,at Drew,11/09/21,81-76,W,33-66,0.5,5-20,0.25,10-14,0.714,12,27,39,37.0,21,20,14,1,12,81,87.5,mbball
59,vs Penn St. Harrisburg,11/12/21,59-81,L,23-55,0.418,9-24,0.375,4-11,0.364,9,25,34,36.0,14,15,20,2,7,59,78.0,mbball
60,at Lebanon Valley,11/13/21,66-82,L,24-58,0.414,7-27,0.259,11-20,0.55,11,21,32,35.0,13,13,13,9,9,66,75.0,mbball
61,at Susquehanna,11/18/21,72-90,L,25-52,0.481,5-18,0.278,17-20,0.85,12,23,35,35.0,18,8,18,8,5,72,74.4,mbball
62,vs Swarthmore,11/23/21,75-79,L,28-56,0.5,10-24,0.417,9-13,0.692,5,19,24,33.2,14,15,8,6,5,75,74.5,mbball
63,at Ursinus,11/30/21,71-77,L,29-61,0.475,6-26,0.231,7-12,0.583,10,22,32,33.0,10,8,9,7,8,71,74.0,mbball
64,vs Johns Hopkins,12/04/21,58-76,L,21-50,0.42,9-26,0.346,7-11,0.636,6,27,33,33.0,12,9,17,5,10,58,72.0,mbball
65,at King's,12/12/21,68-59,W,25-53,0.472,4-23,0.174,14-21,0.667,8,33,41,33.9,14,17,18,8,8,68,71.6,mbball
66,vs DeSales,12/20/21,60-72,L,22-57,0.386,7-27,0.259,9-11,0.818,6,24,30,33.5,11,13,10,4,7,60,70.4,mbball
67,at Dickinson,01/13/22,61-52,W,19-55,0.345,8-25,0.32,15-22,0.682,9,31,40,34.1,19,9,13,3,13,61,69.5,mbball
68,vs Washington College,01/15/22,87-74,W (OT),26-54,0.481,8-27,0.296,27-34,0.794,9,31,40,34.6,12,14,19,4,8,87,71.0,mbball
69,at Franklin & Marshall,01/17/22,54-73,L,21-51,0.412,5-16,0.313,7-10,0.7,4,18,22,33.6,9,9,12,8,9,54,69.7,mbball
70,vs Haverford,01/19/22,62-68,L,21-54,0.389,5-21,0.238,15-20,0.75,6,20,26,33.1,16,6,14,3,9,62,69.1,mbball
71,at Johns Hopkins,01/22/22,63-83,L,23-51,0.451,3-14,0.214,14-20,0.7,7,22,29,32.8,14,7,17,3,9,63,68.7,mbball
72,vs Gettysburg,01/25/22,48-63,L,18-54,0.333,5-21,0.238,7-11,0.636,7,23,30,32.6,13,10,14,1,6,48,67.4,mbball
73,at Swarthmore,01/27/22,76-60,W,27-49,0.551,9-19,0.474,13-22,0.591,6,33,39,33.0,14,15,14,4,3,76,67.9,mbball
74,at Gettysburg,01/29/22,57-73,L,24-63,0.381,4-19,0.211,5-5,1.0,7,23,30,32.8,15,8,10,4,7,57,67.3,mbball
75,at McDaniel,01/31/22,83-52,W,30-51,0.588,12-19,0.632,11-17,0.647,14,29,43,33.4,15,16,14,6,7,83,68.2,mbball
76,vs Dickinson,02/02/22,67-69,L,28-62,0.452,7-18,0.389,4-6,0.667,9,26,35,33.5,13,13,14,6,11,67,68.1,mbball
77,vs McDaniel,02/05/22,61-62,L,21-45,0.467,6-14,0.429,13-22,0.591,4,22,26,33.1,13,11,13,6,7,61,67.8,mbball
78,at Haverford,02/08/22,74-85,L,26-56,0.464,7-21,0.333,15-21,0.714,13,23,36,33.2,20,13,16,4,8,74,68.0,mbball
79,vs Franklin & Marshall,02/12/22,73-67,W,25-49,0.51,8-20,0.4,15-22,0.682,5,23,28,33.0,17,17,17,5,6,73,68.3,mbball
80,vs Ursinus,02/16/22,83-77,W,25-49,0.51,10-21,0.476,23-35,0.657,4,29,33,33.0,11,12,19,4,10,83,68.9,mbball
81,at Washington College,02/19/22,81-83,L,29-59,0.492,5-23,0.217,18-22,0.818,9,27,36,33.1,16,20,12,3,7,81,69.4,mbball
82,Muhlenberg,,-,,630-1376,0.458,175-542,0.323,299-438,0.683,200,628,828,33.1,356,320,362,118,203,1734,69.4,mbball
83,Opponents,,-,,664-1525,0.435,205-602,0.341,271-385,0.704,281,609,890,35.6,418,413,324,60,186,1804,72.2,mbball
84,at Moravian,11/08/19,95-87,W,34-61,0.557,8-24,0.333,19-30,0.633,11,33,44,44.0,20,19,18,8,5,95,95.0,mbball
