,Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,team_name
54,3/17/2023,vs,Mass.-Boston,W,9-4,27,9,14,9,4,0,0,2,0,4,0,1,3,0,1,3,21,8,2,0.519,softball
55,3/26/2023,,MIT,L,3-5,22,3,4,2,0,0,0,7,0,3,0,1,2,0,0,9,21,11,2,0.182,softball
56,3/26/2023,,MIT,L,1-3,25,1,6,1,0,0,1,0,0,0,0,0,0,0,0,3,21,6,1,0.24,softball
57,3/30/2023,,King's,W,3-1,25,3,9,3,1,0,0,1,0,2,0,0,1,0,0,7,21,9,1,0.36,softball
58,3/30/2023,,King's,W,10-2,30,10,12,7,3,0,0,0,0,2,0,0,0,1,0,1,18,7,3,0.4,softball
59,4/2/2023,,Franklin & Marshall,W,16-7,29,16,17,13,0,0,1,5,0,6,0,0,0,0,0,1,15,8,1,0.586,softball
60,4/2/2023,,Franklin & Marshall,W,4-0,22,4,5,4,1,0,0,5,0,2,1,3,1,0,0,8,21,8,0,0.227,softball
61,4/4/2023,,Dickinson,L,1-6,26,1,7,1,2,1,0,1,0,1,0,1,2,0,0,5,21,6,3,0.269,softball
62,4/4/2023,,Dickinson,W,1-0,21,1,4,1,0,0,0,4,1,2,0,2,3,0,0,2,21,9,1,0.19,softball
63,4/6/2023,at,DeSales,W,13-2,35,13,19,8,5,0,2,1,0,2,0,0,0,0,0,4,15,8,0,0.543,softball
64,4/6/2023,at,DeSales,L,1-4,26,1,3,1,1,0,0,0,0,0,0,0,0,0,0,7,18,8,0,0.115,softball
65,4/8/2023,at,Washington College,L,0-1,22,0,2,0,1,0,0,1,0,0,0,1,1,0,0,1,18,3,3,0.091,softball
66,4/8/2023,at,Washington College,L,2-3,26,2,8,1,0,0,1,4,0,0,0,0,2,0,1,4,18,6,0,0.308,softball
67,4/11/2023,at,Ursinus,L,2-10,22,2,7,2,1,0,0,3,0,1,1,0,0,1,0,1,17,10,1,0.318,softball
68,4/11/2023,at,Ursinus,L,2-4,24,2,5,0,0,0,0,1,0,0,0,0,3,0,0,5,18,11,1,0.208,softball
69,4/16/2023,,Gettysburg,L,0-8,17,0,2,0,0,0,0,1,0,0,0,2,0,0,0,3,15,6,2,0.118,softball
70,4/16/2023,,Gettysburg,L,2-3,29,2,9,1,1,1,0,1,0,2,0,1,1,0,0,3,21,5,1,0.31,softball
71,4/18/2023,,Haverford,W,5-0,27,5,10,4,2,2,0,1,0,1,0,0,1,1,0,1,21,11,0,0.37,softball
72,4/18/2023,,Haverford,L,2-5,33,2,6,2,0,0,0,4,0,1,0,0,3,0,0,0,30,15,0,0.182,softball
73,4/20/2023,,Moravian,L,2-4,29,2,8,0,1,0,0,0,0,0,0,0,1,0,0,6,21,5,2,0.276,softball
74,4/20/2023,,Moravian,L,1-8,26,1,6,0,2,0,0,0,0,0,1,0,1,0,1,5,21,8,1,0.231,softball
75,4/22/2023,at,Messiah,L,3-6,29,3,7,3,1,0,0,2,0,0,0,2,0,0,0,6,18,6,1,0.241,softball
76,4/25/2023,at,Swarthmore,L,6-8,25,6,7,5,2,0,0,6,0,2,0,0,2,1,0,4,18,5,1,0.28,softball
77,4/25/2023,at,Swarthmore,L,1-9,20,1,3,1,0,0,0,1,0,0,0,0,0,0,1,5,16,6,2,0.15,softball
78,4/29/2023,at,McDaniel,L,11-12,30,11,8,8,1,2,0,5,0,1,0,0,1,1,0,0,18,7,2,0.267,softball
79,4/29/2023,at,McDaniel,W,12-5,35,12,14,11,3,0,2,1,0,1,0,1,1,1,0,2,21,9,0,0.4,softball
80,Total,,,,159-171,973,159,279,125,51,9,9,79,1,54,5,17,37,9,4,153,717,295,50,,softball
81,3/13/2022,at,Christopher Newport,L,0-14,17,0,2,0,0,0,0,0,0,0,0,0,1,0,0,8,12,1,1,0.118,softball
82,3/13/2022,at,Christopher Newport,L,0-20,17,0,3,0,0,0,0,0,0,0,0,0,1,0,0,5,12,3,6,0.176,softball
83,3/14/2022,at,Virginia Wesleyan,L,1-5,25,1,5,1,0,0,0,1,0,1,0,0,1,0,0,4,93,39,79,0.2,softball
84,3/14/2022,at,Virginia Wesleyan,L,0-9,16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,12,3,2,0.063,softball
85,3/15/2022,vs,Mass.-Boston,W,3-0,26,3,5,2,0,0,0,1,0,1,0,0,0,0,0,6,21,3,0,0.192,softball
86,3/15/2022,vs,Sarah Lawrence,W,16-0,27,16,13,12,2,1,0,4,0,4,0,1,0,1,0,4,15,3,0,0.481,softball
87,3/16/2022,vs,SUNY Poly,W,13-5,26,13,13,10,2,2,0,3,0,1,0,0,1,2,0,3,15,5,2,0.5,softball
88,3/16/2022,vs,Medaille,L,3-7,23,3,4,3,0,0,0,4,0,0,0,1,2,0,1,2,18,7,1,0.174,softball
89,3/17/2022,vs,Albright,W,9-5,32,9,12,6,0,1,1,1,0,1,0,1,0,0,0,2,21,9,3,0.375,softball
90,3/17/2022,vs,SUNY Morrisville,W,16-0,29,16,15,12,1,2,0,4,0,5,0,1,0,0,0,0,15,2,0,0.517,softball
91,3/19/2022,at,Ithaca,L,0-9,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,12,1,0,0.063,softball
92,3/19/2022,at,Salisbury,L,0-4,22,0,2,0,0,0,0,2,0,0,0,0,1,0,0,4,21,7,1,0.091,softball
93,3/24/2022,at,Cedar Crest,L,2-4,26,2,7,2,1,0,0,2,0,0,0,0,2,0,0,1,18,7,0,0.269,softball
94,3/24/2022,at,Cedar Crest,W,3-1,29,3,11,2,2,0,1,0,0,2,0,0,2,1,0,0,21,9,1,0.379,softball
95,3/26/2022,at,Kean,W,8-0,24,8,8,6,1,0,1,2,0,2,0,0,2,0,0,5,15,3,0,0.333,softball
96,3/26/2022,at,Kean,L,1-10,17,1,1,1,0,0,1,1,0,0,0,0,0,0,0,2,12,7,1,0.059,softball
97,4/2/2022,at,McDaniel,L,0-2,28,0,8,0,2,0,0,1,0,0,0,0,1,0,0,1,18,4,0,0.286,softball
98,4/2/2022,at,McDaniel,W,8-5,43,8,15,7,2,0,1,2,0,0,1,1,3,0,0,3,30,15,3,0.349,softball
99,4/5/2022,at,Swarthmore,L,1-5,26,1,6,1,0,1,0,1,0,0,0,0,1,0,0,6,18,4,0,0.231,softball
100,4/5/2022,at,Swarthmore,L,4-8,17,4,4,3,1,0,0,2,0,0,0,0,1,0,0,4,15,6,1,0.235,softball
101,4/10/2022,at,Stockton,L,7-8,34,7,9,4,1,0,1,1,0,1,0,1,0,0,0,5,22,7,2,0.265,softball
102,4/10/2022,at,Stockton,L,0-2,25,0,5,0,2,0,0,0,0,0,0,0,0,0,0,4,18,6,1,0.2,softball
103,4/12/2022,at,Dickinson,L,1-2,25,1,2,0,0,0,0,3,0,2,0,0,0,0,0,5,20,13,1,0.08,softball
104,4/12/2022,at,Dickinson,W,6-2,28,6,8,4,2,0,0,0,0,1,0,0,1,1,0,4,21,5,0,0.286,softball
105,4/16/2022,at,Franklin & Marshall,W,11-1,36,11,15,9,3,0,1,4,0,0,1,0,1,0,0,10,18,6,0,0.417,softball
106,4/16/2022,at,Franklin & Marshall,W,5-2,43,5,11,5,1,0,2,2,0,0,0,1,0,0,0,8,33,8,1,0.256,softball
107,4/18/2022,,Centenary (N.J.),W,9-1,22,9,10,8,5,0,0,1,0,2,0,0,1,0,0,3,15,7,2,0.455,softball
108,4/18/2022,,Centenary (N.J.),W,9-1,26,9,10,9,2,1,0,5,0,3,1,0,0,0,0,3,18,10,0,0.385,softball
109,4/19/2022,at,Haverford,L,5-6,33,5,9,5,2,0,1,4,0,1,0,0,0,0,0,4,24,14,1,0.273,softball
110,4/19/2022,at,Haverford,W,7-4,28,7,8,5,4,0,0,2,0,1,0,0,0,0,0,4,21,6,2,0.286,softball
111,4/21/2022,at,Moravian,L,1-4,25,1,4,1,0,0,1,0,0,0,0,1,0,0,0,1,18,8,0,0.16,softball
112,4/21/2022,at,Moravian,L,0-4,26,0,7,0,2,0,0,0,0,0,0,0,2,0,0,2,18,6,1,0.269,softball
