,Date,Opponent,W/L,Score,G,A,PTS,SH,SH%,SOG,SOG%,GW,FPG,FPS,UP,DN,GB,TO,CTO,DC,team_name
16,5/01/24,Washington College,L,9-17,9,5,14,39,0.231,28,0.718,0,2,6,1,0,28,13,8,8,wlax
17,,Muhlenberg,,244-185,244,113,357,578,0.422,426,0.737,10,56,108,25,2,329,241,175,243,wlax
18,,Opponents,,185-244,185,79,264,462,0.4,343,0.742,5,29,81,11,4,307,295,139,231,wlax
19,2/22/23,at Moravian,W,19-14,19,8,27,35,0.543,27,0.771,1,3,8,4,0,17,15,8,18,wlax
20,3/01/23,at Misericordia,W,15-9,15,8,23,28,0.536,24,0.857,1,1,3,0,0,17,15,10,14,wlax
21,3/04/23,Goucher,W,18-4,18,8,26,38,0.474,32,0.842,1,5,9,0,0,23,16,16,18,wlax
22,3/08/23,at Delaware Valley,W,20-3,20,8,28,45,0.444,32,0.711,1,2,4,0,0,26,13,10,19,wlax
23,3/09/23,DeSales,W,16-3,16,7,23,36,0.444,29,0.806,1,4,6,1,1,13,15,7,14,wlax
24,3/14/23,vs Concordia (Wis.),W,21-2,21,13,34,31,0.677,25,0.806,0,2,3,0,0,20,10,7,19,wlax
25,3/20/23,at Lycoming,W,18-8,18,12,30,38,0.474,32,0.842,1,2,8,2,0,17,11,6,19,wlax
26,3/25/23,at Franklin & Marshall,L,5-19,5,2,7,14,0.357,8,0.571,0,0,4,0,0,11,16,7,7,wlax
27,4/01/23,at Haverford,L,14-19,14,8,22,32,0.438,25,0.781,0,3,6,1,0,14,15,10,13,wlax
28,4/05/23,Bryn Mawr,W,14-8,14,5,19,41,0.341,34,0.829,1,2,8,0,0,18,15,8,15,wlax
29,4/08/23,Washington College,L,10-15,10,3,13,25,0.4,18,0.72,0,3,8,0,0,18,15,11,9,wlax
30,4/15/23,at Dickinson,W,16-15,16,7,23,31,0.516,25,0.806,1,3,4,0,0,24,9,8,11,wlax
31,4/19/23,Swarthmore,W,14-5,14,6,20,27,0.519,25,0.926,1,2,2,0,1,17,17,7,17,wlax
32,4/22/23,at McDaniel,W,17-7,17,3,20,33,0.515,22,0.667,1,4,8,1,1,14,16,6,14,wlax
33,4/26/23,Ursinus,L,13-23,13,9,22,31,0.419,24,0.774,0,0,4,0,0,7,11,6,16,wlax
34,4/29/23,Gettysburg,L,6-20,6,3,9,21,0.286,14,0.667,0,1,4,0,0,10,13,2,10,wlax
35,5/03/23,at Haverford,L,12-16,12,5,17,25,0.48,21,0.84,0,3,7,1,0,12,19,4,14,wlax
36,,Muhlenberg,,248-190,248,115,363,531,0.467,417,0.785,10,40,96,10,3,278,241,133,247,wlax
