,Date,Opponent,W/L,Score,G,A,PTS,SH,SH%,SOG,SOG%,GW,UP,DN,GB,TO,CTO,Faceoff,PEN-MIN,team_name
135,3/19/16,Stockton,L,8-11,8,2,10,32,0.25,24,0.75,0,2,0,40,18,14,6-14,2-02:00,mlax
136,3/26/16,Franklin & Marshall,L,4-16,4,1,5,26,0.154,11,0.423,0,1,0,22,17,5,7-17,2-02:00,mlax
137,3/30/16,at Swarthmore,L,4-5,4,1,5,36,0.111,15,0.417,0,0,0,25,17,7,6-6,5-04:30,mlax
138,4/02/16,at Gettysburg,L,2-16,2,1,3,19,0.105,10,0.526,0,0,0,20,21,3,10-11,5-04:00,mlax
139,4/08/16,Washington College,L,6-15,6,2,8,26,0.231,16,0.615,0,1,0,24,20,10,6-19,8-06:30,mlax
140,4/13/16,Haverford,L,5-14,5,1,6,21,0.238,14,0.667,0,0,0,29,21,9,13-9,5-04:00,mlax
141,4/16/16,at McDaniel,L,6-12,6,2,8,28,0.214,14,0.5,0,1,0,18,21,3,8-14,7-05:30,mlax
142,4/23/16,Ursinus,L,5-9,5,4,9,23,0.217,12,0.522,0,1,0,26,14,6,5-12,1-00:30,mlax
143,4/27/16,at Dickinson,L,4-16,4,2,6,30,0.133,14,0.467,0,1,0,27,12,5,3-20,3-03:00,mlax
144,,Muhlenberg,,106-177,106,42,148,476,0.223,272,0.571,3,19,0,422,266,106,137-195,65-57:00,mlax
145,,Opponents,,177-106,177,98,275,630,0.281,374,0.594,13,26,1,514,263,115,195-137,58-47:00,mlax
146,2/25/15,Susquehanna,L,10-12,10,2,12,36,0.278,21,0.583,0,0,0,26,17,8,12-13,8-07:30,mlax
147,2/28/15,at Scranton,W,8-7,8,7,15,27,0.296,16,0.593,1,0,0,37,20,7,7-11,2-01:30,mlax
148,3/08/15,Centenary (N.J.),W,18-4,18,13,31,62,0.29,37,0.597,1,2,0,40,12,11,15-10,1-00:30,mlax
149,3/14/15,Lycoming,W,15-5,15,11,26,42,0.357,27,0.643,1,2,1,47,19,19,14-9,6-06:00,mlax
150,3/18/15,Montclair State,L,6-14,6,4,10,30,0.2,18,0.6,0,2,0,32,19,7,8-16,4-03:30,mlax
151,3/21/15,at Franklin & Marshall,L,4-6,4,1,5,33,0.121,12,0.364,0,0,0,25,17,12,6-7,4-03:00,mlax
152,3/25/15,Swarthmore,L,7-8,7,3,10,37,0.189,19,0.514,0,1,0,24,18,13,3-14,5-04:30,mlax
153,3/28/15,Gettysburg,L,6-15,6,2,8,21,0.286,13,0.619,0,1,0,26,27,4,16-9,3-03:00,mlax
154,4/04/15,at Washington College,L,10-16,10,8,18,29,0.345,18,0.621,0,3,0,29,17,8,4-26,2-01:30,mlax
155,4/08/15,at Haverford,L,5-7,5,2,7,29,0.172,16,0.552,0,0,0,27,22,8,9-6,2-01:30,mlax
