,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
109,9/24/2016,at Johns Hopkins,L,0-2,"(2-5-0, 0-2-0 CC)",0-2-0 CC,200,,wsoc
110,9/27/2016,vs DeSales,W,2-1,(3-5),,147,Alyssa Rose (1) (Carly DeNigris)  Sarah Hunter (2) (Carly DeNigris),wsoc
111,10/1/2016,vs Dickinson,T,2-2,(3-5-1 (0-2-1 CC)),,80,Danni Steigerwald (2) (Makenzie O'Brien)  Danni Steigerwald (3) (Abby Lazofsky),wsoc
112,10/8/2016,at Washington College,W,2-1,"(4-5-1, 1-2-1)",1-2-1,117,Alyssa Rose (2) (Emily Jordan)  Emily Jordan (1) (Carly DeNigris),wsoc
113,10/11/2016,vs Haverford,T,0-0,"(4-5-2, 1-2-2 CC)",1-2-2 CC,184,,wsoc
114,10/15/2016,vs Franklin & Marshall,T,0-0,"(4-5-3, 1-2-3 Conf.)",1-2-3 Conf.,175,,wsoc
115,10/19/2016,at Swarthmore,L,1-2,"(4-6-3, 1-3-3 CC)",1-3-3 CC,139,Carly DeNigris (1),wsoc
116,10/22/2016,at Gettysburg,L,0-1,"(4-7-3, 1-4-3 CC)",1-4-3 CC,88,,wsoc
117,10/23/2016,vs Moravian,W,1-0,(5-7-3),,137,"Makenzie O'Brien (1) (Karolyn Kawa , Danni Steigerwald)",wsoc
118,10/29/2016,vs Ursinus,W,1-0,"(6-7-3, 2-4-3 CC)",2-4-3 CC,181,Alyssa Rose (3) (Carly DeNigris),wsoc
119,9/5/2015,at Cortland State,L,1-2,(0-1),,55,Emily Jordan (0),wsoc
120,9/6/2015,at Wilkes,L,2-4,(0-2),,105,Nicole Karsch (0) (Phoebe Shields)  Taylor Pini (0),wsoc
121,9/12/2015,at Gwynedd Mercy,T,1-1,(0-2-1),,150,Makenzie O'Brien (1) (Carly DeNigris),wsoc
122,9/13/2015,vs Delaware Valley,L,1-2,(0-3-1),,75,Jacelin Muschlitz (1),wsoc
123,9/16/2015,at Lebanon Valley,L,1-2,(0-4-1),,58,Abby Lazofsky (0),wsoc
124,9/19/2015,at McDaniel,L,0-5,"(0-5-1, 0-1 CC)",0-1 CC,180,,wsoc
125,9/22/2015,at Scranton,L,0-2,(0-6-1),,125,,wsoc
126,9/26/2015,vs Johns Hopkins,L,0-6,"(0-7-1, 0-2)",0-2,125,,wsoc
127,9/30/2015,at DeSales,W,4-1,(1-7-1),,75,Carly DeNigris (0) Phoebe Shields (0) (Emily Jordan)  Siobhan McKenna (0) (Sarah Theurer)  Emily Jordan (0),wsoc
128,10/3/2015,at Dickinson,L,1-3,"(1-8-1, 0-3)",0-3,60,Carly DeNigris (0),wsoc
129,10/7/2015,vs Bryn Mawr,W,3-0,"(2-8-1, 1-3)",1-3,55,Abby Lazofsky (2) (Taylor Pini)  Makenzie O'Brien (2) (Taylor Pini)  Abby Lazofsky (3) (Taylor Pini),wsoc
130,10/10/2015,vs Washington College,W,1-0,"(3-8-1, 2-3)",2-3,115,Makenzie O'Brien (3) (Sarah Theurer),wsoc
131,10/14/2015,at Haverford,L,1-4,"(3-9-1, 2-4-0 CC)",2-4-0 CC,79,Makenzie O'Brien (0),wsoc
132,10/17/2015,at Franklin & Marshall,W,2-0,"(4-9-1, 3-4-0)",3-4-0,72,Emily Jordan (3) (Carly DeNigris)  Emily Jordan (4) (Taylor Pini),wsoc
133,10/21/2015,vs Swarthmore,L,0-2,"(4-10-1, 3-5)",3-5,57,,wsoc
134,10/24/2015,vs Gettysburg,L,0-2,(4-11-1 (3-6 CC)),,100,,wsoc
135,10/27/2015,at Moravian,W,2-0,(5-11-1),,108,Abby Lazofsky (4) (Carly DeNigris)  Taylor Pini (2) (Phoebe Shields),wsoc
136,10/31/2015,at Ursinus,L,1-2,"(5-12-1, 3-7 CC)",3-7 CC,199,Jacelin Muschlitz (2) (Sarah Theurer),wsoc
137,8/29/2014,vs Wilkes,W,1-0,(1-0),,100,Krissy Fioretti (1),wsoc
138,8/30/2014,vs Marywood,W,2-0,(2-0),,75,Taylor Pini (1) Kaitlin Cassidy (1),wsoc
139,9/5/2014,vs Delaware Valley,W,2-1,(3-0),,100,Colleen Touhey (1) Taylor Pini (2),wsoc
140,9/6/2014,vs Gwynedd Mercy,W,1-0,(4-0),,100,TEAM (0),wsoc
141,9/11/2014,at Bryn Mawr,W,2-0,(5-0 (1-0 Cent.)),,33,Carly DeNigris (1) Jacelin Muschlitz (1) (Phoebe Shields),wsoc
142,9/16/2014,vs Lebanon Valley,T,1-1,(5-0-1),,75,Colleen Touhey (2),wsoc
143,9/20/2014,vs McDaniel,W,1-0,(6-0-1 (2-0)),,100,Abby Lazofsky (1) (Carly DeNigris),wsoc
144,9/23/2014,vs Scranton,L,0-1,(6-1-1),,100,,wsoc
145,9/27/2014,at Johns Hopkins,L,0-3,"(6-2-1, 2-1-0 CC)",2-1-0 CC,108,,wsoc
146,10/1/2014,vs DeSales,T,3-3,(6-2-2),,100,Audrey Zamichow (1) Leah Messler (1) (Taylor Pini)  Taylor Pini (3),wsoc
147,10/4/2014,vs Dickinson,L,0-2,(6-3-2 (2-2 CC)),,90,,wsoc
148,10/11/2014,at Washington College,W,1-0,"(7-3-2, 3-2 CC)",3-2 CC,71,Taylor Pini (4) (Colleen Touhey),wsoc
149,10/14/2014,vs Haverford,W,3-0,(8-3-2 (4-2 CC)),,85,"Colleen Touhey (3) (Megan Nehila , Taylor Pini)  Kaitlin Cassidy (0) Carly DeNigris (2)",wsoc
150,10/18/2014,vs Franklin & Marshall,W,2-1,"(9-3-2, (5-2 CC))",(5-2 CC),115,Colleen Touhey (4) Abby Lazofsky (2) (Colleen Touhey),wsoc
151,10/22/2014,at Swarthmore,W,1-0,"(10-3-2, CC 6-2)",CC 6-2,56,Carly DeNigris (3),wsoc
152,10/25/2014,at Gettysburg,L,0-2,"(10-4-2, 6-3 CC)",6-3 CC,218,,wsoc
153,10/28/2014,vs Moravian,W,2-1,(11=4=2),,100,Taylor Pini (5) (Colleen Touhey)  Taylor Pini (6),wsoc
154,11/1/2014,vs Ursinus,L,1-2,(11-5-2 (6-4 CC)),,100,Audrey Zamichow (2) (Jacelin Muschlitz),wsoc
155,11/5/2014,vs Swarthmore,L,0-1,(11-6-2),,0,,wsoc
156,11/12/2014,vs Wilkes,L,0-3,(11-7-2),,100,,wsoc
157,8/30/2013,at Brockport,L,0-3,(0-1),,50,,wsoc
158,8/31/2013,at Wilkes,L,1-2,(1-1),,115,Jacelin Muschlitz (0) (Krissy Fioretti),wsoc
159,9/7/2013,at Gwynedd-Mercy,W,2-0,(1-2),,75,"Colleen Touhey (0) (Krissy Fioretti)  Abby Lazofsky (0) (Nicole Karsch , Krissy Fioretti)",wsoc
160,9/8/2013,vs Delaware Valley,W,2-0,(2-2),,100,Megan Nehila (1) CJ Graetzer (1) (Gabriela De Frutos),wsoc
161,9/14/2013,at McDaniel,W,1-0,"(3-2, 1-0 CC)",1-0 CC,328,Abby Lazofsky (0) (Stephanie Tramutola),wsoc
162,9/17/2013,at Lebanon Valley,T,0-0,(3-2-1),,156,,wsoc
163,9/21/2013,vs Johns Hopkins,L,0-5,(3-3-1 (1-1)),,250,,wsoc
164,9/24/2013,at Scranton,L,1-2,(3-4-1),,125,CJ Graetzer (2) (Courtney Simon),wsoc
165,9/28/2013,at Dickinson,W,1-0,"(4-4-1, 2-1)",2-1,90,Susan Galgano (0) (Nicole Karsch),wsoc
166,10/2/2013,at DeSales,L,1-2,(4-5-1 overall),,115,Abby Lazofsky (3) (Nicole Karsch),wsoc
167,10/5/2013,vs Washington College,W,1-0,(5-5-1 (3-1 CC)),,100,"Abby Lazofsky (4) (Stephanie Tramutola , CJ Graetzer)",wsoc
168,10/9/2013,at Haverford,L,0-3,"(5-6-1, 3-2 CC)",3-2 CC,31,,wsoc
169,10/12/2013,at Franklin & Marshall,W,1-0,"(6-6-1, 4-2 CC)",4-2 CC,82,CJ Graetzer (3) (Taylor Pini),wsoc
