,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
153,10/29/2014,vs Moravian,W,5-0,(12-3),,234,Lauren Jordan (10) Rachel Strow (3) (Kayleigh Thies)  Samantha Swire (5) (Kayleigh Thies)  Gwen Remaley (4) (Meghan Gill)  Christine Germaske (6) (Lauren Jordan),fhockey
154,11/1/2014,at Ursinus,L,0-7,"(12-4, 7-3 CC)",7-3 CC,67,,fhockey
155,11/8/2014,at Franklin & Marshall,L,0-1,(12-5),,112,,fhockey
156,11/12/2014,vs Stevenson,L,0-1,(12-6),,100,,fhockey
157,8/30/2013,at Scranton,L,1-2,(0-1),,125,Kayleigh Thies (1) (Samantha Swire),fhockey
158,9/4/2013,at Montclair State,L,1-6,(0-2),,111,Christine Germaske (1),fhockey
159,9/11/2013,vs King's,W,5-1,(1-2),,75,Samantha Swire (1) (Kayleigh Thies)  Meghan Gill (1) (Bridget McNally)  Christine Germaske (2) Bridget McNally (1) (Mariah Alston)  Bridget McNally (2),fhockey
160,9/13/2013,vs McDaniel,W,3-1,(2-2 (1-0)),,80,Kayleigh Thies (2) (Samantha Swire)  Kayleigh Thies (3) Erin Cummings (1) (Kayleigh Thies),fhockey
161,9/18/2013,at Elizabethtown,L,1-2,(2-3),,75,Kayleigh Thies (4),fhockey
162,9/21/2013,at Johns Hopkins,L,1-2,"(2-4, 1-1 CC)",1-1 CC,75,Dayna Hovern (1) (Kayleigh Thies),fhockey
163,9/25/2013,at Moravian,L,1-2,(2-5),,68,Dayna Hovern (2),fhockey
164,9/28/2013,at Dickinson,L,0-2,"(2-6, 1-2)",1-2,180,,fhockey
165,10/2/2013,at Bryn Mawr,W,6-0,(3-6/2-2 CC),,77,Kayleigh Thies (0) (Christine Germaske)  Kayleigh Thies (0) Meghan Gill (0) (Emily Boyle)  Lauren Jordan (0) (Meghan Gill)  Rachel Strow (0) (Kayleigh Thies)  Dayna Hovern (0),fhockey
166,10/4/2013,vs Washington College,W,4-0,(4-6 (3-2 CC)),,100,Kayleigh Thies (7) Christine Germaske (3) (Mariah Alston)  Ray Gallagher (1) (Samantha Swire)  Lauren Jordan (2) (Ray Gallagher),fhockey
167,10/11/2013,vs Franklin & Marshall,L,1-2,(4-7 (3-3 CC)),,150,Kayleigh Thies (8) (Rachel Strow),fhockey
168,10/16/2013,at Swarthmore,W,3-0,"(5-7, 4-3)",4-3,73,Mariah Alston (1) Kayleigh Thies (9) (Christine Germaske)  Lauren Jordan (3) (Meghan Gill),fhockey
169,10/18/2013,at Gettysburg,W,3-2,"(6-7, 5-3 CC)",5-3 CC,55,Mariah Alston (2) Christine Germaske (4) (Kayleigh Thies)  Allie Califano (1) (Kayleigh Thies),fhockey
170,10/23/2013,vs Widener,W,2-1,(7-7),,129,Dayna Hovern (4) Kayleigh Thies (10) (Emily Boyle),fhockey
171,10/26/2013,vs Ursinus,W,3-2,(8-7 (6-3 CC)),,125,Kayleigh Thies (11) Emily Boyle (1) (Kayleigh Thies)  TEAM (0),fhockey
172,10/30/2013,at Drew,L,1-6,(8-8),,109,Rachel Strow (0) (Kayleigh Thies),fhockey
173,11/2/2013,vs Haverford,L,1-2,(8-9 (6-4 CC)),,100,Emily Boyle (2),fhockey
174,11/6/2013,at Haverford,L,1-3,(8-10),,162,Emily Boyle (3),fhockey
175,8/31/2012,vs Scranton,W,2-1,(1-0),,100,Lauren Jordan (1) Kayleigh Thies (1),fhockey
176,9/1/2012,vs Elizabethtown,L,0-2,(1-1),,60,,fhockey
177,9/5/2012,vs Montclair State,W,2-1,(2-1),,100,Christine Germaske (0) Samantha Swire (1),fhockey
178,9/11/2012,at King's,W,2-1,(3-1),,76,Samantha Swire (2) Samantha Swire (3) (Kayleigh Thies),fhockey
179,9/15/2012,at McDaniel,W,4-3,"(4-1, 1-0 CC)",1-0 CC,0,Dayna Hovern (0) (Kayleigh Thies)  Kayleigh Thies (0) Lauren Jordan (0) Dayna Hovern (0) (Kayleigh Thies),fhockey
180,9/19/2012,at Haverford,L,0-2,"(4-2, 1-1 CC)",1-1 CC,78,,fhockey
181,9/21/2012,vs Johns Hopkins,L,0-2,(4-3 (1-2)),,103,,fhockey
182,9/25/2012,at Widener,W,1-0,(5-3),,115,Devon Barber (1) (Dayna Hovern),fhockey
183,9/29/2012,at Dickinson,W,4-0,"(6-3, 2-2)",2-2,80,Erin Cummings (0) (Samantha Swire)  Dayna Hovern (0) Erin Cummings (0) (Kayleigh Thies)  Gabrielle Smith (0),fhockey
184,10/3/2012,vs Bryn Mawr,W,5-1,(7-3 (3-2)),,100,Christine Germaske (2) (Kayleigh Thies)  Dayna Hovern (4) Samantha Swire (4) (Mariah Alston)  Samantha Swire (5) (Dayna Hovern)  Erin Cummings (3) (Mariah Alston),fhockey
185,10/6/2012,vs Washington College,L,0-2,(7-4 (3-3 CC)),,100,,fhockey
186,10/10/2012,vs Moravian,W,5-0,(8-4),,84,Meghan Gill (1) (Christine Germaske)  Kayleigh Thies (3) (Samantha Swire)  Christine Germaske (3) (Kayleigh Thies)  Dayna Hovern (5) Kayleigh Thies (4),fhockey
187,10/13/2012,at F&M,L,1-3,"(8-5, 3-4 CC)",3-4 CC,239,Erin Cummings (4) (Mariah Alston),fhockey
188,10/17/2012,vs Swarthmore,W,1-0,(9-5 (4-4 CC)),,100,Mariah Alston (1) (Heather Porrini),fhockey
189,10/20/2012,vs Gettysburg,L,1-2,(9-6 (4-5 CC)),,150,Lauren Jordan (3) (Christine Germaske),fhockey
190,10/27/2012,at Ursinus,L,1-2,"(9-7, 4-6 CC)",4-6 CC,156,Kayleigh Thies (5) (Samantha Swire),fhockey
