,Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS,team_name
67,9/30/2021,at Moravian,L,4,42,33,163,0.055,42,5,6,4,76,0,2,1,1.0,4,48.0,volleyball
68,10/02/2021,McDaniel,W,3,35,21,109,0.128,33,6,3,4,45,1,10,2,6.0,0,47.0,volleyball
69,10/02/2021,DeSales,W,5,65,27,203,0.187,58,10,5,10,97,0,8,1,4.0,3,79.0,volleyball
70,10/06/2021,at Ursinus,W,3,32,8,79,0.304,28,10,4,2,45,0,8,0,4.0,1,46.0,volleyball
71,10/09/2021,at Gettysburg,L,3,28,22,135,0.044,25,5,1,6,61,0,12,0,6.0,2,39.0,volleyball
72,10/13/2021,Haverford,L,3,21,30,116,-0.078,19,2,2,4,46,1,4,4,3.0,1,26.0,volleyball
73,10/16/2021,Johns Hopkins,L,4,25,28,113,-0.027,20,4,5,14,44,1,6,3,4.0,2,33.0,volleyball
74,10/16/2021,Clarkson,L,3,24,18,117,0.051,23,2,3,11,61,0,4,5,2.0,1,28.0,volleyball
75,10/19/2021,Bryn Mawr,W,3,43,17,103,0.252,37,9,7,4,52,0,2,0,1.0,3,53.0,volleyball
76,10/23/2021,at Washington College,L,5,48,31,153,0.111,43,8,4,7,61,0,16,1,8.0,0,64.0,volleyball
77,10/27/2021,at Franklin & Marshall,L,3,22,24,112,-0.018,19,4,2,10,61,1,2,1,2.0,0,28.0,volleyball
78,10/30/2021,Lebanon Valley,W,3,37,18,111,0.171,30,11,4,8,57,0,10,1,5.0,0,53.0,volleyball
79,,Muhlenberg,,82,856,520,2942,0.114,794,155,100,174,1392,13,140,30,83.0,28,1094.0,volleyball
80,,Opponents,,82,917,477,3010,0.146,853,174,180,155,1355,21,126,12,84.0,28,1175.0,volleyball
81,8/30/2019,vs Clark University,W,5,56,25,163,0.19,43,4,5,9,73,0,8,2,4.0,4,64.0,volleyball
82,8/31/2019,vs Susquehanna,L,3,18,10,85,0.094,17,4,4,11,25,3,6,1,6.0,0,28.0,volleyball
83,8/31/2019,at Salisbury,L,3,21,15,122,0.049,19,4,4,7,54,2,6,0,5.0,0,30.0,volleyball
84,8/31/2019,at Thiel,L,5,39,26,152,0.086,28,16,5,6,73,2,12,2,8.0,11,63.0,volleyball
85,9/07/2019,at Vassar,L,4,49,25,168,0.143,47,11,6,7,83,0,2,0,1.0,0,61.0,volleyball
86,9/07/2019,vs Morrisville State,L,5,46,26,206,0.097,45,8,9,10,112,2,8,0,6.0,1,60.0,volleyball
87,9/13/2019,Mount St. Vincent,W,3,38,8,76,0.395,32,12,6,6,43,4,8,0,8.0,3,58.0,volleyball
88,9/13/2019,Eastern,W,5,50,30,183,0.109,44,8,3,4,86,0,14,2,7.0,5,65.0,volleyball
89,9/14/2019,Stockton,L,3,25,17,99,0.081,23,6,6,8,37,0,2,0,1.0,2,32.0,volleyball
90,9/14/2019,PSU Abington,W,4,52,24,139,0.201,48,13,9,2,76,0,12,1,6.0,5,71.0,volleyball
91,9/17/2019,Moravian,W,3,40,9,112,0.277,39,2,5,8,56,1,10,0,6.0,2,48.0,volleyball
