,Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,team_name
132,5/8/2021,at,Washington College,W,4-0,25,4,4,4,1,0,0,6,1,2,1,1,2,2,0,3,27,10,2,0.16,baseball
133,5/8/2021,at,Washington College,L,4-5,31,4,6,4,1,0,0,6,0,0,0,1,0,0,1,8,25,5,1,0.194,baseball
134,Total,,,,86-112,531,86,134,79,28,6,8,58,2,13,4,18,8,6,6,126,418,118,25,,baseball
135,2/22/2020,vs,Gwynedd Mercy,W,6-4,32,6,8,6,2,0,0,4,0,3,1,3,1,0,0,7,27,3,1,0.25,baseball
136,2/23/2020,vs,Stevenson,L,8-9,40,8,13,8,3,2,0,6,0,0,1,2,0,0,0,7,27,13,4,0.325,baseball
137,2/23/2020,at,Gallaudet,W,15-4,43,15,14,12,5,2,0,5,0,3,0,5,0,0,0,4,27,9,1,0.326,baseball
138,3/1/2020,vs,Neumann University,W,9-1,34,9,9,4,4,1,1,4,0,0,0,1,0,0,0,10,21,0,1,0.265,baseball
139,3/1/2020,vs,Neumann,W,9-2,28,9,11,7,2,0,0,5,0,1,1,1,0,0,1,5,21,6,1,0.393,baseball
140,3/2/2020,vs,John Carroll,W,3-2,21,3,4,3,1,0,0,3,0,5,0,0,1,0,0,3,21,8,0,0.19,baseball
141,3/2/2020,vs,John Carroll,L,4-7,26,4,5,1,2,0,0,6,0,0,0,1,0,1,0,6,18,4,4,0.192,baseball
142,3/4/2020,vs,Ohio Northern,L,5-15,31,5,7,4,2,0,1,4,0,1,0,0,0,0,1,7,25,9,4,0.226,baseball
143,3/4/2020,vs,Widener,L,11-15,36,11,11,9,3,0,2,6,0,1,0,2,0,1,1,7,24,10,3,0.306,baseball
144,3/6/2020,vs,Lesley,W,5-0,27,5,4,4,2,0,0,8,0,2,1,3,0,0,1,6,27,3,0,0.148,baseball
145,3/7/2020,vs,St. Mary's (MN),L,2-3,27,2,6,2,1,0,0,0,0,2,0,1,0,0,0,10,18,10,2,0.222,baseball
146,3/7/2020,vs,St. Mary's (MN),L,2-5,26,2,8,2,0,0,0,1,1,3,1,1,2,0,1,3,21,8,0,0.308,baseball
147,Total,,,,79-67,371,79,100,62,27,5,4,52,1,21,5,20,4,2,5,75,277,83,21,,baseball
